Generation,GA_Cost,PSO_Cost,ACS_Cost,MEAF_Cost
0,2428.3369,0.0000,0.0000,0.0000
1,2350.8957,0.0000,0.0000,0.0000
2,2300.6820,0.0000,0.0000,0.0000
3,2283.0773,0.0000,0.0000,0.0000
4,2241.0178,0.0000,0.0000,0.0000
5,2222.6170,0.0000,0.0000,0.0000
6,2208.6423,0.0000,0.0000,0.0000
7,2201.7442,0.0000,0.0000,0.0000
8,2193.8464,0.0000,0.0000,0.0000
9,2190.2636,0.0000,0.0000,0.0000
10,2185.4892,0.0000,0.0000,0.0000
11,2178.5026,0.0000,0.0000,0.0000
12,2174.9687,0.0000,0.0000,0.0000
13,2172.0619,0.0000,0.0000,0.0000
14,2170.2576,0.0000,0.0000,0.0000
15,2166.7891,0.0000,0.0000,0.0000
16,2163.1074,0.0000,0.0000,0.0000
17,2162.1301,0.0000,0.0000,0.0000
18,2159.3775,0.0000,0.0000,0.0000
19,2157.5043,0.0000,0.0000,0.0000
20,2155.2370,0.0000,0.0000,0.0000
21,2154.3902,0.0000,0.0000,0.0000
22,2152.9679,0.0000,0.0000,0.0000
23,2151.8886,0.0000,0.0000,0.0000
24,2150.2310,0.0000,0.0000,0.0000
25,2149.1566,0.0000,0.0000,0.0000
26,2147.9645,0.0000,0.0000,0.0000
27,2143.9288,0.0000,0.0000,0.0000
28,2143.0723,0.0000,0.0000,0.0000
29,2142.7449,0.0000,0.0000,0.0000
30,2142.6574,0.0000,0.0000,0.0000
31,2140.5361,0.0000,0.0000,0.0000
32,2136.7642,0.0000,0.0000,0.0000
33,2135.5041,0.0000,0.0000,0.0000
34,2133.1937,0.0000,0.0000,0.0000
35,2131.7296,0.0000,0.0000,0.0000
36,2130.1347,0.0000,0.0000,0.0000
37,2129.0815,0.0000,0.0000,0.0000
38,2127.9420,0.0000,0.0000,0.0000
39,2126.0977,0.0000,0.0000,0.0000
40,2126.0977,0.0000,0.0000,0.0000
41,2126.0977,0.0000,0.0000,0.0000
42,2125.6925,0.0000,0.0000,0.0000
43,2124.9734,0.0000,0.0000,0.0000
44,2124.4132,0.0000,0.0000,0.0000
45,2121.7647,0.0000,0.0000,0.0000
46,2119.3151,0.0000,0.0000,0.0000
47,2116.6953,0.0000,0.0000,0.0000
48,2113.7471,0.0000,0.0000,0.0000
49,2112.1782,0.0000,0.0000,0.0000
50,2110.9474,0.0000,0.0000,0.0000
51,2107.4653,0.0000,0.0000,0.0000
52,2106.3226,0.0000,0.0000,0.0000
53,2105.6612,0.0000,0.0000,0.0000
54,2104.8746,0.0000,0.0000,0.0000
55,2104.7693,0.0000,0.0000,0.0000
56,2103.4826,0.0000,0.0000,0.0000
57,2103.4826,0.0000,0.0000,0.0000
58,2103.4239,0.0000,0.0000,0.0000
59,2103.2630,0.0000,0.0000,0.0000
60,2102.2228,0.0000,0.0000,0.0000
61,2101.4429,0.0000,0.0000,0.0000
62,2100.5060,0.0000,0.0000,0.0000
63,2099.2198,0.0000,0.0000,0.0000
64,2098.7977,0.0000,0.0000,0.0000
65,2096.2821,0.0000,0.0000,0.0000
66,2094.6755,0.0000,0.0000,0.0000
67,2092.9767,0.0000,0.0000,0.0000
68,2092.4185,0.0000,0.0000,0.0000
69,2092.3716,0.0000,0.0000,0.0000
70,2090.8935,0.0000,0.0000,0.0000
71,2090.2310,0.0000,0.0000,0.0000
72,2090.0041,0.0000,0.0000,0.0000
73,2090.0041,0.0000,0.0000,0.0000
74,2089.7208,0.0000,0.0000,0.0000
75,2088.4844,0.0000,0.0000,0.0000
76,2088.4587,0.0000,0.0000,0.0000
77,2088.1376,0.0000,0.0000,0.0000
78,2087.6218,0.0000,0.0000,0.0000
79,2087.6218,0.0000,0.0000,0.0000
80,2087.2013,0.0000,0.0000,0.0000
81,2087.0750,0.0000,0.0000,0.0000
82,2086.8969,0.0000,0.0000,0.0000
83,2086.1763,0.0000,0.0000,0.0000
84,2086.1763,0.0000,0.0000,0.0000
85,2085.9719,0.0000,0.0000,0.0000
86,2085.5603,0.0000,0.0000,0.0000
87,2085.0623,0.0000,0.0000,0.0000
88,2084.2439,0.0000,0.0000,0.0000
89,2084.1192,0.0000,0.0000,0.0000
90,2083.1127,0.0000,0.0000,0.0000
91,2082.9751,0.0000,0.0000,0.0000
92,2081.7045,0.0000,0.0000,0.0000
93,2081.1067,0.0000,0.0000,0.0000
94,2081.1067,0.0000,0.0000,0.0000
95,2080.4563,0.0000,0.0000,0.0000
96,2078.7944,0.0000,0.0000,0.0000
97,2076.4313,0.0000,0.0000,0.0000
98,2075.6466,0.0000,0.0000,0.0000
99,2075.4450,0.0000,0.0000,0.0000
100,2073.7278,0.0000,0.0000,0.0000
101,2073.7278,0.0000,0.0000,0.0000
102,2073.6474,0.0000,0.0000,0.0000
103,2073.5084,0.0000,0.0000,0.0000
104,2073.2726,0.0000,0.0000,0.0000
105,2073.2726,0.0000,0.0000,0.0000
106,2073.2726,0.0000,0.0000,0.0000
107,2073.0214,0.0000,0.0000,0.0000
108,2072.6745,0.0000,0.0000,0.0000
109,2070.4295,0.0000,0.0000,0.0000
110,2069.8396,0.0000,0.0000,0.0000
111,2068.5124,0.0000,0.0000,0.0000
112,2067.8942,0.0000,0.0000,0.0000
113,2067.7549,0.0000,0.0000,0.0000
114,2067.4668,0.0000,0.0000,0.0000
115,2067.4668,0.0000,0.0000,0.0000
116,2067.4668,0.0000,0.0000,0.0000
117,2064.4859,0.0000,0.0000,0.0000
118,2064.3877,0.0000,0.0000,0.0000
119,2064.3877,0.0000,0.0000,0.0000
120,2064.3877,0.0000,0.0000,0.0000
121,2064.3488,0.0000,0.0000,0.0000
122,2063.7870,0.0000,0.0000,0.0000
123,2063.4914,0.0000,0.0000,0.0000
124,2062.5702,0.0000,0.0000,0.0000
125,2062.4471,0.0000,0.0000,0.0000
126,2062.3468,0.0000,0.0000,0.0000
127,2062.0715,0.0000,0.0000,0.0000
128,2062.0715,0.0000,0.0000,0.0000
129,2061.5549,0.0000,0.0000,0.0000
130,2061.2408,0.0000,0.0000,0.0000
131,2059.9921,0.0000,0.0000,0.0000
132,2059.9921,0.0000,0.0000,0.0000
133,2059.7397,0.0000,0.0000,0.0000
134,2059.4579,0.0000,0.0000,0.0000
135,2058.9653,0.0000,0.0000,0.0000
136,2058.9653,0.0000,0.0000,0.0000
137,2058.9653,0.0000,0.0000,0.0000
138,2058.9653,0.0000,0.0000,0.0000
